ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 5%,Accuracy at 10%,Accuracy at 15%,Accuracy at 20%,Precision at 5%,Precision at 10%,Precision at 15%,Precision at 20%,Recall at 5%,Recall at 10%,Recall at 15%,Recall at 20%,F1 at 5%,F1 at 10%,F1 at 15%,F1 at 20%,Roc_Auc at 5%,Roc_Auc at 10%,Roc_Auc at 15%,Roc_Auc at 20%
0.0,Logistic Regression,33.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs'}",0.02035999298095703,0.000997304916381836,0.3153961136023916,0.3639760837070254,0.40508221225710017,0.4446935724962631,1.0,0.9924812030075189,0.965,0.9475655430711608,0.06720977596741344,0.13441955193482688,0.19653767820773926,0.2576374745417515,0.12595419847328246,0.2367713004484305,0.3265651438240271,0.4051240992794236,0.6105388567244101,0.6105388567244101,0.6105388567244101,0.6105388567244101
0.0,Logistic Regression,34.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'newton-cg'}",0.061024665832519524,0.0009946823120117188,0.3153961136023916,0.3639760837070254,0.40508221225710017,0.4446935724962631,1.0,0.9924812030075189,0.965,0.9475655430711608,0.06720977596741344,0.13441955193482688,0.19653767820773926,0.2576374745417515,0.12595419847328246,0.2367713004484305,0.3265651438240271,0.4051240992794236,0.6105417172017666,0.6105417172017666,0.6105417172017666,0.6105417172017666
0.0,Logistic Regression,35.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'sag'}",0.41808629035949707,0.0,0.3153961136023916,0.3639760837070254,0.40508221225710017,0.4446935724962631,1.0,0.9924812030075189,0.965,0.9475655430711608,0.06720977596741344,0.13441955193482688,0.19653767820773926,0.2576374745417515,0.12595419847328246,0.2367713004484305,0.3265651438240271,0.4051240992794236,0.6105274148149843,0.6105274148149843,0.6105274148149843,0.6105274148149843
1.0,Decision Tree,24.0,"{'min_samples_split': 0.07, 'max_depth': 5}",0.012963294982910156,0.0009844303131103516,0.30792227204783257,0.35201793721973096,0.3991031390134529,0.42675635276532137,0.9242424242424242,0.9323308270676692,0.945,0.902621722846442,0.062118126272912425,0.12627291242362526,0.1924643584521385,0.2454175152749491,0.116412213740458,0.22242152466367715,0.3197969543147208,0.3859087269815853,0.6745105723243096,0.6745105723243096,0.6745105723243096,0.6745105723243096
1.0,Decision Tree,33.0,"{'min_samples_split': 0.09, 'max_depth': 10}",0.016951560974121094,0.0009980201721191406,0.3019431988041853,0.33557548579970103,0.3811659192825112,0.4252615844544096,0.8636363636363636,0.849624060150376,0.885,0.8988764044943821,0.058044806517311615,0.115071283095723,0.18024439918533605,0.2443991853360489,0.10877862595419847,0.20269058295964126,0.2994923857868021,0.3843074459567654,0.6666557015034669,0.6666557015034669,0.6666557015034669,0.6666557015034669
2.0,Random Forest,49.0,"{'n_estimators': 500, 'max_depth': 5, 'max_features': 10}",0.693181037902832,0.10668611526489258,0.3153961136023916,0.3639760837070254,0.4095665171898356,0.4476831091180867,1.0,0.9924812030075189,0.98,0.9550561797752808,0.06720977596741344,0.13441955193482688,0.19959266802443992,0.25967413441955195,0.12595419847328246,0.2367713004484305,0.3316412859560068,0.4083266613290633,0.6723480514428248,0.6723480514428248,0.6723480514428248,0.6723480514428248
3.0,Bagging,4.0,"{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 25}",0.18747425079345706,0.027927875518798828,0.3153961136023916,0.3639760837070254,0.4080717488789238,0.4446935724962631,1.0,0.9924812030075189,0.975,0.9475655430711609,0.06720977596741344,0.13441955193482688,0.1985743380855397,0.2576374745417515,0.12595419847328246,0.2367713004484305,0.3299492385786802,0.4051240992794236,0.6523061168447791,0.6523061168447791,0.6523061168447791,0.6523061168447791
3.0,Bagging,5.0,"{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 30}",0.2094724178314209,0.021940231323242188,0.3153961136023916,0.3654708520179372,0.406576980568012,0.4402092675635276,1.0,1.0,0.97,0.9363295880149812,0.06720977596741344,0.1354378818737271,0.1975560081466395,0.2545824847250509,0.12595419847328246,0.23856502242152464,0.3282571912013537,0.4003202562049639,0.650606993295041,0.650606993295041,0.650606993295041,0.650606993295041
3.0,Bagging,83.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",1.198764085769653,0.09178781509399414,0.3153961136023916,0.3654708520179372,0.4080717488789238,0.4402092675635276,1.0,1.0,0.975,0.9363295880149812,0.06720977596741344,0.1354378818737271,0.1985743380855397,0.2545824847250509,0.12595419847328246,0.23856502242152464,0.3299492385786802,0.4003202562049639,0.6642686331495,0.6642686331495,0.6642686331495,0.6642686331495
4.0,Ada Boosting,25.0,"{'n_estimators': 500, 'algorithm': 'SAMME.R', 'learning_rate': 0.01}",2.0375523567199707,0.09075760841369629,0.3153961136023916,0.3639760837070254,0.4080717488789238,0.44020926756352763,1.0,0.9924812030075187,0.975,0.9363295880149812,0.06720977596741344,0.13441955193482688,0.1985743380855397,0.2545824847250509,0.12595419847328243,0.2367713004484305,0.3299492385786802,0.4003202562049639,0.6494227556694662,0.6494227556694662,0.6494227556694662,0.6494227556694662
